ponto,tensao_V,corrente_A,resistencia_ohm
1,0.2,0.00429,46.652
2,0.299,0.00636,47.098
3,0.399,0.00857,46.548
4,0.498,0.01085,45.95
5,0.598,0.01268,47.166
6,0.697,0.01479,47.166
7,0.797,0.01736,45.912
8,0.896,0.01929,46.465
9,0.996,0.02104,47.333
10,1.095,0.0235,46.621
11,1.195,0.02525,47.329
12,1.294,0.02735,47.331
13,1.394,0.02977,46.83
14,1.493,0.03086,48.389
15,1.593,0.03302,48.248
16,1.692,0.03571,47.4
17,1.792,0.03755,47.725
18,1.891,0.04043,46.779
19,1.991,0.04178,47.649
20,2.09,0.04354,48.017
21,2.19,0.04762,45.989
22,2.289,0.04855,47.16
23,2.389,0.05088,46.952
24,2.488,0.05181,48.026
25,2.588,0.05461,47.387
26,2.687,0.05727,46.922
27,2.787,0.05827,47.826
28,2.886,0.06176,46.737
29,2.986,0.06296,47.427
30,3.085,0.06536,47.207
31,3.185,0.06715,47.428
32,3.284,0.07182,45.729
33,3.384,0.07198,47.01
34,3.483,0.07294,47.758
35,3.583,0.07717,46.427
36,3.682,0.07691,47.877
37,3.782,0.08072,46.853
38,3.881,0.08016,48.423
39,3.981,0.08301,47.955
40,4.08,0.08707,46.862
41,4.18,0.08992,46.485
42,4.279,0.09129,46.879
43,4.379,0.09301,47.082
44,4.478,0.09485,47.213
45,4.578,0.09524,48.066
46,4.677,0.09844,47.513
47,4.777,0.10093,47.327
48,4.876,0.1054,46.266
49,4.976,0.10642,46.759
50,5.075,0.10513,48.277
51,5.175,0.11064,46.773
52,5.274,0.11157,47.273
53,5.374,0.11318,47.482
54,5.473,0.11752,46.573
55,5.573,0.12041,46.284
56,5.672,0.12237,46.352
57,5.772,0.12126,47.599
58,5.871,0.12434,47.219
59,5.971,0.12767,46.768
60,6.07,0.13105,46.322
61,6.17,0.13033,47.34
62,6.269,0.13302,47.131
63,6.369,0.13326,47.793
64,6.468,0.13515,47.859
65,6.568,0.14144,46.434
66,6.667,0.14474,46.063
67,6.767,0.14382,47.051
68,6.866,0.14829,46.303
69,6.966,0.14901,46.746
70,7.065,0.14887,47.459
71,7.165,0.15327,46.747
72,7.264,0.15813,45.94
73,7.364,0.15659,47.025
74,7.463,0.16252,45.922
75,7.563,0.15459,48.922
76,7.662,0.16504,46.428
77,7.762,0.16536,46.939
78,7.861,0.16651,47.212
79,7.961,0.16961,46.935
80,8.06,0.16638,48.444
81,8.16,0.17304,47.155
82,8.259,0.17667,46.75
83,8.359,0.18179,45.981
84,8.458,0.17856,47.368
85,8.558,0.17987,47.577
86,8.657,0.18281,47.356
87,8.757,0.18887,46.363
88,8.856,0.18936,46.769
89,8.956,0.18903,47.376
90,9.055,0.19415,46.641
91,9.155,0.19507,46.932
92,9.254,0.19976,46.327
93,9.354,0.19692,47.5
94,9.453,0.20014,47.232
95,9.553,0.20205,47.278
96,9.652,0.20086,48.055
97,9.752,0.20841,46.792
98,9.851,0.21042,46.817
99,9.951,0.21173,46.996
100,10.05,0.21308,47.166
101,10.15,0.21137,48.019
102,10.249,0.21669,47.298
103,10.349,0.21905,47.243
104,10.448,0.21963,47.572
105,10.548,0.22388,47.114
106,10.647,0.22791,46.717
107,10.747,0.23512,45.707
108,10.846,0.23138,46.877
109,10.946,0.23379,46.819
110,11.045,0.23474,47.053
