medicao,grupo_comprimento,repeticao,comprimento_m,tempo_10_oscilacoes_s,periodo_s,g_estimado_m_s2,incerteza_comprimento_m,incerteza_tempo_s
1,1,1,0.2468,10.075,1.0075,9.5984,0.002,0.01
2,1,2,0.2488,10.028,1.0028,9.7681,0.002,0.01
3,1,3,0.25,10.098,1.0098,9.6786,0.002,0.01
4,1,4,0.2501,10.168,1.0168,9.5498,0.002,0.01
5,1,5,0.2491,9.991,0.9991,9.8519,0.002,0.01
6,1,6,0.2512,9.998,0.9998,9.9237,0.002,0.01
7,1,7,0.2479,10.164,1.0164,9.4713,0.002,0.01
8,1,8,0.2497,10.099,1.0099,9.6652,0.002,0.01
9,1,9,0.2502,10.001,1.0001,9.8781,0.002,0.01
10,1,10,0.251,10.132,1.0132,9.6546,0.002,0.01
11,2,1,0.3014,10.959,1.0959,9.9079,0.002,0.01
12,2,2,0.2978,10.967,1.0967,9.7724,0.002,0.01
13,2,3,0.2969,11.021,1.1021,9.6504,0.002,0.01
14,2,4,0.3026,10.844,1.0844,10.1567,0.002,0.01
15,2,5,0.3007,10.845,1.0845,10.0922,0.002,0.01
16,2,6,0.2985,10.954,1.0954,9.821,0.002,0.01
17,2,7,0.3031,10.895,1.0895,10.0807,0.002,0.01
18,2,8,0.3002,11.009,1.1009,9.7791,0.002,0.01
19,2,9,0.3024,10.908,1.0908,10.0325,0.002,0.01
20,2,10,0.3001,10.876,1.0876,10.0171,0.002,0.01
21,3,1,0.3541,12.02,1.202,9.6761,0.002,0.01
22,3,2,0.3535,11.822,1.1822,9.9858,0.002,0.01
23,3,3,0.3495,11.884,1.1884,9.7702,0.002,0.01
24,3,4,0.3519,11.73,1.173,10.0982,0.002,0.01
25,3,5,0.3513,11.817,1.1817,9.9307,0.002,0.01
26,3,6,0.3527,11.893,1.1893,9.8449,0.002,0.01
27,3,7,0.3481,11.777,1.1777,9.9075,0.002,0.01
28,3,8,0.3514,11.882,1.1882,9.8254,0.002,0.01
29,3,9,0.3521,11.809,1.1809,9.9678,0.002,0.01
30,3,10,0.3465,11.855,1.1855,9.733,0.002,0.01
31,4,1,0.3976,12.628,1.2628,9.8434,0.002,0.01
32,4,2,0.3959,12.839,1.2839,9.4823,0.002,0.01
33,4,3,0.3995,12.687,1.2687,9.7974,0.002,0.01
34,4,4,0.4014,12.593,1.2593,9.9933,0.002,0.01
35,4,5,0.403,12.785,1.2785,9.7328,0.002,0.01
36,4,6,0.4001,12.599,1.2599,9.9514,0.002,0.01
37,4,7,0.4033,12.674,1.2674,9.9112,0.002,0.01
38,4,8,0.3972,12.534,1.2534,9.9831,0.002,0.01
39,4,9,0.3966,12.571,1.2571,9.9071,0.002,0.01
40,4,10,0.3999,12.716,1.2716,9.7633,0.002,0.01
41,5,1,0.4508,13.504,1.3504,9.7582,0.002,0.01
42,5,2,0.4499,13.469,1.3469,9.7911,0.002,0.01
43,5,3,0.4459,13.455,1.3455,9.7223,0.002,0.01
44,5,4,0.4498,13.446,1.3446,9.8223,0.002,0.01
45,5,5,0.4474,13.321,1.3321,9.9537,0.002,0.01
46,5,6,0.4513,13.394,1.3394,9.9314,0.002,0.01
