ponto,corrente_A,tensao_V,resistencia_estimativa_ohm
1,0.05,0.7738,15.477
2,0.1,1.1516,11.5161
3,0.15,2.0267,13.5113
4,0.2,2.9331,14.6653
5,0.25,2.918,11.6722
6,0.3,3.5181,11.7268
7,0.35,4.7527,13.5792
8,0.4,5.0686,12.6715
9,0.45,5.2357,11.6349
10,0.5,6.1899,12.3798
11,0.55,6.4378,11.7051
12,0.6,7.037,11.7283
13,0.65,7.8847,12.1303
14,0.7,7.7304,11.0434
15,0.75,8.3963,11.195
16,0.8,9.4032,11.754
17,0.85,9.8455,11.583
18,0.9,10.91,12.1222
19,0.95,11.0822,11.6655
20,1.0,11.5057,11.5057
21,1.05,13.113,12.4885
22,1.1,13.121,11.9282
23,1.15,13.8236,12.0206
24,1.2,13.9013,11.5844
25,1.25,14.8095,11.8476
26,1.3,15.6388,12.0299
27,1.35,15.7972,11.7016
28,1.4,16.9315,12.0939
29,1.45,17.1898,11.855
30,1.5,17.8979,11.9319
31,1.55,18.3894,11.8641
32,1.6,19.8483,12.4052
33,1.65,19.7953,11.9971
34,1.7,20.0298,11.7822
35,1.75,21.2879,12.1645
36,1.8,21.1727,11.7626
37,1.85,22.2731,12.0395
38,1.9,22.1141,11.639
39,1.95,22.9351,11.7616
40,2.0,24.0689,12.0345
41,2.05,24.8585,12.1261
42,2.1,25.26,12.0286
43,2.15,25.7595,11.9812
44,2.2,26.2946,11.9521
45,2.25,26.4825,11.77
46,2.3,27.3481,11.8905
47,2.35,28.0388,11.9314
48,2.4,29.17,12.1542
49,2.45,29.5203,12.0491
50,2.5,29.3829,11.7532
51,2.55,30.7134,12.0445
52,2.6,31.0652,11.9482
53,2.65,31.5631,11.9106
54,2.7,32.6141,12.0793
55,2.75,33.3608,12.1312
56,2.8,33.9259,12.1164
57,2.85,33.9063,11.8969
58,2.9,34.6918,11.9627
59,2.95,35.5159,12.0393
60,3.0,36.3414,12.1138
61,3.05,36.4323,11.945
62,3.1,37.135,11.979
63,3.15,37.4128,11.8771
64,3.2,37.9813,11.8692
65,3.25,39.2844,12.0875
66,3.3,40.0747,12.1438
67,3.35,40.1748,11.9925
68,3.4,41.1512,12.1033
69,3.45,41.5266,12.0367
70,3.5,41.7742,11.9355
71,3.55,42.7265,12.0356
72,3.6,43.7383,12.1495
73,3.65,43.7875,11.9966
74,3.7,44.9476,12.148
75,3.75,44.0831,11.7555
76,3.8,45.8877,12.0757
77,3.85,46.2305,12.0079
78,3.9,46.6953,11.9732
79,3.95,47.4321,12.0081
80,4.0,47.3044,11.8261
81,4.05,48.5231,11.981
82,4.1,49.325,12.0305
83,4.15,50.3173,12.1246
84,4.2,50.2186,11.9568
85,4.25,50.717,11.9334
86,4.3,51.4244,11.9592
87,4.35,52.5204,12.0737
88,4.4,52.9151,12.0262
89,4.45,53.2146,11.9583
90,4.5,54.1796,12.0399
91,4.55,54.634,12.0075
92,4.6,55.539,12.0737
93,4.65,55.5543,11.9472
94,4.7,56.2853,11.9756
95,4.75,56.8628,11.9711
96,4.8,57.0878,11.8933
97,4.85,58.3036,12.0214
98,4.9,58.8914,12.0186
99,4.95,59.4018,12.0004
100,5.0,59.9179,11.9836
101,5.05,60.1046,11.9019
102,5.1,61.0528,11.9711
103,5.15,61.68,11.9767
104,5.2,62.1192,11.946
105,5.25,62.9436,11.9892
106,5.3,63.7414,12.0267
107,5.35,64.8602,12.1234
108,5.4,64.8611,12.0113
109,5.45,65.4901,12.0165
110,5.5,65.9739,11.9953
111,5.55,65.9284,11.879
112,5.6,67.1907,11.9983
113,5.65,67.8211,12.0037
114,5.7,69.2621,12.1513
115,5.75,68.9327,11.9883
116,5.8,69.7055,12.0182
117,5.85,70.1879,11.9979
118,5.9,70.391,11.9307
119,5.95,71.8,12.0672
120,6.0,72.2632,12.0439
121,6.05,72.8769,12.0458
122,6.1,72.8817,11.9478
123,6.15,74.291,12.0798
124,6.2,73.9094,11.9209
125,6.25,75.2054,12.0329
126,6.3,76.3667,12.1217
127,6.35,75.8533,11.9454
128,6.4,76.6018,11.969
129,6.45,77.4349,12.0054
130,6.5,77.8238,11.9729
131,6.55,78.0573,11.9171
132,6.6,79.224,12.0036
133,6.65,79.4282,11.9441
134,6.7,80.5658,12.0247
135,6.75,80.6782,11.9523
136,6.8,82.1425,12.0798
137,6.85,81.9259,11.96
138,6.9,82.6873,11.9837
139,6.95,83.6847,12.041
140,7.0,83.5692,11.9385
141,7.05,84.6796,12.0113
142,7.1,85.6575,12.0644
143,7.15,85.2374,11.9213
144,7.2,86.4646,12.009
145,7.25,87.091,12.0125
146,7.3,87.8736,12.0375
147,7.35,87.7671,11.9411
148,7.4,88.3378,11.9375
149,7.45,89.5827,12.0245
150,7.5,90.1039,12.0139
151,7.55,90.6877,12.0116
152,7.6,91.3213,12.016
153,7.65,91.562,11.9689
154,7.7,92.4813,12.0106
155,7.75,93.1026,12.0132
156,7.8,93.35,11.9679
157,7.85,94.853,12.0832
158,7.9,94.9658,12.021
159,7.95,94.983,11.9476
160,8.0,96.2298,12.0287
161,8.05,96.2589,11.9576
162,8.1,97.4755,12.034
163,8.15,98.2055,12.0498
164,8.2,98.1128,11.965
165,8.25,99.3372,12.0409
166,8.3,99.7445,12.0174
167,8.35,100.4877,12.0345
168,8.4,101.4639,12.079
169,8.45,101.3141,11.9898
170,8.5,101.7362,11.969
171,8.55,102.2887,11.9636
172,8.6,102.9145,11.9668
173,8.65,103.773,11.9969
174,8.7,104.5194,12.0137
175,8.75,105.0968,12.0111
176,8.8,105.8895,12.0329
177,8.85,106.2046,12.0005
178,8.9,107.3087,12.0572
179,8.95,107.3074,11.9897
180,9.0,108.9521,12.1058
181,9.05,108.819,12.0242
182,9.1,108.9,11.967
183,9.15,109.4252,11.959
184,9.2,110.5689,12.0184
185,9.25,110.9218,11.9915
186,9.3,111.8499,12.0269
187,9.35,112.3656,12.0177
188,9.4,112.7745,11.9973
189,9.45,113.1036,11.9686
190,9.5,113.4698,11.9442
191,9.55,114.4437,11.9836
192,9.6,115.4997,12.0312
193,9.65,115.8749,12.0078
194,9.7,115.964,11.9551
195,9.75,117.0606,12.0062
196,9.8,117.7349,12.0138
197,9.85,117.8906,11.9686
198,9.9,118.8538,12.0054
199,9.95,119.4204,12.002
200,10.0,119.6,11.96
