ponto,tensao_V,corrente_A,resistencia_ohm,tensao_prevista_V
1,0.2,0.00429,46.652,0.21796740043609109
2,0.299,0.00636,47.098,0.3151016956139105
3,0.399,0.00857,46.548,0.4188054600308095
4,0.498,0.01085,45.95,0.5257939590672484
5,0.598,0.01268,47.166,0.6116663069780742
6,0.697,0.01479,47.166,0.7106775933670593
7,0.797,0.01736,45.912,0.8312742786844487
8,0.896,0.01929,46.465,0.9218391046231886
9,0.996,0.02104,47.333,1.0039574701116831
10,1.095,0.0235,46.621,1.1193924295983673
11,1.195,0.02525,47.329,1.201510795086862
12,1.294,0.02735,47.331,1.3000528336730555
13,1.394,0.02977,46.83,1.413610801948574
14,1.493,0.03086,48.389,1.4647588124528363
15,1.593,0.03302,48.248,1.5661163378557785
16,1.692,0.03571,47.4,1.6923439968066645
17,1.792,0.03755,47.725,1.7786855925202818
18,1.891,0.04043,46.779,1.9138289597242046
19,1.991,0.04178,47.649,1.9771774131010433
20,2.09,0.04354,48.017,2.0597650263923297
21,2.19,0.04762,45.989,2.25121812993122
22,2.289,0.04855,47.16,2.29485817559082
23,2.389,0.05088,46.952,2.4041929136412157
24,2.488,0.05181,48.026,2.447832959300816
25,2.588,0.05461,47.387,2.579222344082407
26,2.687,0.05727,46.922,2.704042259624919
27,2.787,0.05827,47.826,2.7509670399040593
28,2.886,0.06176,46.737,2.9147345230782573
29,2.986,0.06296,47.427,2.971044259413225
30,3.085,0.06536,47.207,3.083663732083161
31,3.185,0.06715,47.428,3.167659088782821
32,3.284,0.07182,45.729,3.3867978126864036
33,3.384,0.07198,47.01,3.3943057775310663
34,3.483,0.07294,47.758,3.4393535665990407
35,3.583,0.07717,46.427,3.637845387179802
36,3.682,0.07691,47.877,3.625644944307226
37,3.782,0.08072,46.853,3.8044283571707482
38,3.881,0.08016,48.423,3.7781504802144297
39,3.981,0.08301,47.955,3.911886104009979
40,4.08,0.08707,46.862,4.102400711943286
41,4.18,0.08992,46.485,4.236136335738835
42,4.279,0.09129,46.879,4.300423284721256
43,4.379,0.09301,47.082,4.381133906801376
44,4.478,0.09485,47.213,4.467475502514994
45,4.578,0.09524,48.066,4.485776166823859
46,4.677,0.09844,47.513,4.635935463717106
47,4.777,0.10093,47.327,4.752778166612164
48,4.876,0.1054,46.266,4.9625319344599195
49,4.976,0.10642,46.759,5.010395210344642
50,5.075,0.10513,48.277,4.949862243784552
51,5.175,0.11064,46.773,5.208417783122612
52,5.274,0.11157,47.273,5.252057828782212
53,5.374,0.11318,47.482,5.327606725031627
54,5.473,0.11752,46.573,5.531260271443094
55,5.573,0.12041,46.284,5.666872886449808
56,5.672,0.12237,46.352,5.758845455796923
57,5.772,0.12126,47.599,5.706758949687077
58,5.871,0.12434,47.219,5.851287272946828
59,5.971,0.12767,46.768,6.007546791276364
60,6.07,0.13105,46.322,6.1661525486198565
61,6.17,0.13033,47.34,6.132366706818876
62,6.269,0.13302,47.131,6.258594365769762
63,6.369,0.13326,47.793,6.269856313036755
64,6.468,0.13515,47.859,6.358544147764329
65,6.568,0.14144,46.434,6.653701015720119
66,6.667,0.14474,46.063,6.808552790641281
67,6.767,0.14382,47.051,6.765381992784472
68,6.866,0.14829,46.303,6.975135760632227
69,6.966,0.14901,46.746,7.008921602433207
70,7.065,0.14887,47.459,7.002352133194128
71,7.165,0.15327,46.747,7.208821166422343
72,7.264,0.15813,45.94,7.436875598578962
73,7.364,0.15659,47.025,7.364611436949088
74,7.463,0.16252,45.922,7.642875384004387
