ponto,corrente_A,tensao_V,resistencia_estimativa_ohm,resistencia_calculada_ohm
1,0.05,0.7738,15.477,15.476
2,0.1,1.1516,11.5161,11.515999999999998
3,0.15,2.0267,13.5113,13.511333333333333
4,0.2,2.9331,14.6653,14.6655
5,0.25,2.918,11.6722,11.672
6,0.3,3.5181,11.7268,11.727
7,0.35,4.7527,13.5792,13.579142857142857
8,0.4,5.0686,12.6715,12.6715
9,0.45,5.2357,11.6349,11.634888888888888
10,0.5,6.1899,12.3798,12.3798
11,0.55,6.4378,11.7051,11.705090909090908
12,0.6,7.037,11.7283,11.728333333333333
13,0.65,7.8847,12.1303,12.13030769230769
14,0.7,7.7304,11.0434,11.043428571428572
15,0.75,8.3963,11.195,11.195066666666667
16,0.8,9.4032,11.754,11.754
17,0.85,9.8455,11.583,11.582941176470587
18,0.9,10.91,12.1222,12.122222222222222
19,0.95,11.0822,11.6655,11.665473684210527
20,1.0,11.5057,11.5057,11.5057
21,1.05,13.113,12.4885,12.488571428571428
22,1.1,13.121,11.9282,11.928181818181818
23,1.15,13.8236,12.0206,12.020521739130436
24,1.2,13.9013,11.5844,11.584416666666668
25,1.25,14.8095,11.8476,11.8476
26,1.3,15.6388,12.0299,12.029846153846153
27,1.35,15.7972,11.7016,11.701629629629629
28,1.4,16.9315,12.0939,12.093928571428572
29,1.45,17.1898,11.855,11.855034482758622
30,1.5,17.8979,11.9319,11.931933333333333
31,1.55,18.3894,11.8641,11.864129032258063
32,1.6,19.8483,12.4052,12.405187499999998
33,1.65,19.7953,11.9971,11.997151515151517
34,1.7,20.0298,11.7822,11.782235294117648
35,1.75,21.2879,12.1645,12.164514285714287
36,1.8,21.1727,11.7626,11.762611111111111
37,1.85,22.2731,12.0395,12.039513513513512
38,1.9,22.1141,11.639,11.639000000000001
39,1.95,22.9351,11.7616,11.761589743589743
40,2.0,24.0689,12.0345,12.03445
41,2.05,24.8585,12.1261,12.12609756097561
42,2.1,25.26,12.0286,12.028571428571428
43,2.15,25.7595,11.9812,11.981162790697674
44,2.2,26.2946,11.9521,11.952090909090908
45,2.25,26.4825,11.77,11.770000000000001
46,2.3,27.3481,11.8905,11.890478260869566
47,2.35,28.0388,11.9314,11.931404255319148
48,2.4,29.17,12.1542,12.154166666666669
49,2.45,29.5203,12.0491,12.049102040816326
50,2.5,29.3829,11.7532,11.75316
51,2.55,30.7134,12.0445,12.044470588235296
52,2.6,31.0652,11.9482,11.948153846153845
53,2.65,31.5631,11.9106,11.910603773584906
54,2.7,32.6141,12.0793,12.079296296296295
55,2.75,33.3608,12.1312,12.1312
56,2.8,33.9259,12.1164,12.116392857142857
57,2.85,33.9063,11.8969,11.896947368421053
58,2.9,34.6918,11.9627,11.962689655172415
59,2.95,35.5159,12.0393,12.039288135593221
60,3.0,36.3414,12.1138,12.1138
61,3.05,36.4323,11.945,11.945016393442623
62,3.1,37.135,11.979,11.979032258064516
63,3.15,37.4128,11.8771,11.877079365079364
64,3.2,37.9813,11.8692,11.869156249999998
65,3.25,39.2844,12.0875,12.087507692307693
66,3.3,40.0747,12.1438,12.143848484848485
67,3.35,40.1748,11.9925,11.992477611940297
68,3.4,41.1512,12.1033,12.10329411764706
69,3.45,41.5266,12.0367,12.036695652173913
70,3.5,41.7742,11.9355,11.935485714285715
71,3.55,42.7265,12.0356,12.035633802816902
72,3.6,43.7383,12.1495,12.149527777777777
73,3.65,43.7875,11.9966,11.996575342465754
74,3.7,44.9476,12.148,12.148
75,3.75,44.0831,11.7555,11.755493333333334
76,3.8,45.8877,12.0757,12.07571052631579
77,3.85,46.2305,12.0079,12.007922077922078
78,3.9,46.6953,11.9732,11.973153846153847
79,3.95,47.4321,12.0081,12.00812658227848
80,4.0,47.3044,11.8261,11.8261
81,4.05,48.5231,11.981,11.981012345679012
82,4.1,49.325,12.0305,12.030487804878051
83,4.15,50.3173,12.1246,12.124650602409638
84,4.2,50.2186,11.9568,11.956809523809524
85,4.25,50.717,11.9334,11.933411764705882
86,4.3,51.4244,11.9592,11.959162790697675
87,4.35,52.5204,12.0737,12.073655172413794
88,4.4,52.9151,12.0262,12.02615909090909
89,4.45,53.2146,11.9583,11.958337078651684
90,4.5,54.1796,12.0399,12.039911111111111
91,4.55,54.634,12.0075,12.007472527472528
92,4.6,55.539,12.0737,12.073695652173914
93,4.65,55.5543,11.9472,11.94716129032258
94,4.7,56.2853,11.9756,11.97559574468085
95,4.75,56.8628,11.9711,11.971115789473684
96,4.8,57.0878,11.8933,11.893291666666668
97,4.85,58.3036,12.0214,12.021360824742269
98,4.9,58.8914,12.0186,12.018653061224489
99,4.95,59.4018,12.0004,12.000363636363636
100,5.0,59.9179,11.9836,11.98358
101,5.05,60.1046,11.9019,11.90190099009901
102,5.1,61.0528,11.9711,11.971137254901961
103,5.15,61.68,11.9767,11.976699029126213
104,5.2,62.1192,11.946,11.946
105,5.25,62.9436,11.9892,11.989257142857143
106,5.3,63.7414,12.0267,12.026679245283018
107,5.35,64.8602,12.1234,12.123401869158881
108,5.4,64.8611,12.0113,12.011314814814813
109,5.45,65.4901,12.0165,12.016532110091742
110,5.5,65.9739,11.9953,11.995254545454545
111,5.55,65.9284,11.879,11.87899099099099
112,5.6,67.1907,11.9983,11.998339285714287
113,5.65,67.8211,12.0037,12.003734513274336
114,5.7,69.2621,12.1513,12.151245614035089
115,5.75,68.9327,11.9883,11.988295652173912
116,5.8,69.7055,12.0182,12.018189655172414
117,5.85,70.1879,11.9979,11.997931623931624
118,5.9,70.391,11.9307,11.930677966101696
119,5.95,71.8,12.0672,12.067226890756302
120,6.0,72.2632,12.0439,12.043866666666666
121,6.05,72.8769,12.0458,12.045768595041324
122,6.1,72.8817,11.9478,11.947819672131148
123,6.15,74.291,12.0798,12.079837398373982
124,6.2,73.9094,11.9209,11.920870967741935
125,6.25,75.2054,12.0329,12.032864
126,6.3,76.3667,12.1217,12.121698412698413
127,6.35,75.8533,11.9454,11.945401574803151
128,6.4,76.6018,11.969,11.969031249999999
129,6.45,77.4349,12.0054,12.005410852713178
130,6.5,77.8238,11.9729,11.972892307692309
131,6.55,78.0573,11.9171,11.91714503816794
132,6.6,79.224,12.0036,12.003636363636366
133,6.65,79.4282,11.9441,11.94409022556391
134,6.7,80.5658,12.0247,12.024746268656715
135,6.75,80.6782,11.9523,11.952325925925926
136,6.8,82.1425,12.0798,12.079779411764706
137,6.85,81.9259,11.96,11.959985401459855
138,6.9,82.6873,11.9837,11.983666666666664
139,6.95,83.6847,12.041,12.04096402877698
140,7.0,83.5692,11.9385,11.938457142857143
141,7.05,84.6796,12.0113,12.011290780141843
142,7.1,85.6575,12.0644,12.064436619718311
143,7.15,85.2374,11.9213,11.921314685314684
144,7.2,86.4646,12.009,12.008972222222223
145,7.25,87.091,12.0125,12.01255172413793
146,7.3,87.8736,12.0375,12.037479452054795
147,7.35,87.7671,11.9411,11.941102040816327
148,7.4,88.3378,11.9375,11.93754054054054
149,7.45,89.5827,12.0245,12.024523489932886
150,7.5,90.1039,12.0139,12.013853333333333
151,7.55,90.6877,12.0116,12.011615894039736
152,7.6,91.3213,12.016,12.015960526315789
153,7.65,91.562,11.9689,11.968888888888888
154,7.7,92.4813,12.0106,12.010558441558441
155,7.75,93.1026,12.0132,12.013238709677418
156,7.8,93.35,11.9679,11.967948717948717
157,7.85,94.853,12.0832,12.083184713375797
158,7.9,94.9658,12.021,12.020987341772152
159,7.95,94.983,11.9476,11.94754716981132
160,8.0,96.2298,12.0287,12.028725
161,8.05,96.2589,11.9576,11.957627329192546
162,8.1,97.4755,12.034,12.034012345679013
163,8.15,98.2055,12.0498,12.049754601226994
164,8.2,98.1128,11.965,11.964975609756097
165,8.25,99.3372,12.0409,12.040872727272728
166,8.3,99.7445,12.0174,12.017409638554216
167,8.35,100.4877,12.0345,12.03445508982036
168,8.4,101.4639,12.079,12.079035714285713
169,8.45,101.3141,11.9898,11.989834319526627
170,8.5,101.7362,11.969,11.968964705882353
171,8.55,102.2887,11.9636,11.963590643274854
172,8.6,102.9145,11.9668,11.966802325581396
173,8.65,103.773,11.9969,11.996878612716761
174,8.7,104.5194,12.0137,12.013724137931035
175,8.75,105.0968,12.0111,12.011062857142857
176,8.8,105.8895,12.0329,12.032897727272726
177,8.85,106.2046,12.0005,12.0005197740113
178,8.9,107.3087,12.0572,12.057157303370786
179,8.95,107.3074,11.9897,11.989653631284916
180,9.0,108.9521,12.1058,12.105788888888888
181,9.05,108.819,12.0242,12.024198895027624
182,9.1,108.9,11.967,11.967032967032969
183,9.15,109.4252,11.959,11.95903825136612
184,9.2,110.5689,12.0184,12.018358695652175
185,9.25,110.9218,11.9915,11.991545945945946
186,9.3,111.8499,12.0269,12.026870967741935
187,9.35,112.3656,12.0177,12.017711229946524
188,9.4,112.7745,11.9973,11.997287234042552
189,9.45,113.1036,11.9686,11.968634920634921
190,9.5,113.4698,11.9442,11.944189473684212
191,9.55,114.4437,11.9836,11.983633507853403
192,9.6,115.4997,12.0312,12.03121875
193,9.65,115.8749,12.0078,12.007761658031088
194,9.7,115.964,11.9551,11.955051546391754
195,9.75,117.0606,12.0062,12.006215384615384
196,9.8,117.7349,12.0138,12.013765306122448
197,9.85,117.8906,11.9686,11.968588832487312
198,9.9,118.8538,12.0054,12.005434343434343
199,9.95,119.4204,12.002,12.002050251256282
200,10.0,119.6,11.96,11.959999999999999
