ponto,tempo_s,posicao_m
1,0.0,0.45
2,0.1,0.563
3,0.2,0.717
4,0.3,1.142
5,0.4,0.999
6,0.5,0.676
7,0.6,1.48
8,0.7,1.442
9,0.8,1.64
10,0.9,1.945
11,1.0,2.181
12,1.1,2.711
13,1.2,2.746
14,1.3,2.775
15,1.4,2.706
16,1.5,2.845
17,1.6,3.53
18,1.7,4.155
19,1.8,3.971
20,1.9,4.187
21,2.0,4.686
22,2.1,4.275
23,2.2,4.967
24,2.3,5.548
25,2.4,5.99
26,2.5,5.916
27,2.6,6.456
28,2.7,6.743
29,2.8,7.27
30,2.9,6.954
31,3.0,7.899
32,3.1,7.534
33,3.2,7.519
34,3.3,8.604
35,3.4,8.883
36,3.5,9.907
37,3.6,10.236
38,3.7,9.989
39,3.8,11.133
40,3.9,10.913
41,4.0,11.67
42,4.1,12.041
43,4.2,12.636
44,4.3,13.343
45,4.4,13.747
46,4.5,14.122
47,4.6,14.711
48,4.7,15.143
49,4.8,15.257
50,4.9,15.733
51,5.0,16.336
52,5.1,17.199
53,5.2,17.468
54,5.3,18.914
55,5.4,18.357
56,5.5,18.815
57,5.6,20.033
58,5.7,20.834
59,5.8,21.093
60,5.9,21.797
61,6.0,22.599
62,6.1,22.671
63,6.2,22.818
64,6.3,23.75
65,6.4,24.898
66,6.5,24.695
67,6.6,25.856
68,6.7,26.585
69,6.8,27.046
70,6.9,28.077
71,7.0,28.703
72,7.1,29.996
73,7.2,30.093
74,7.3,30.363
75,7.4,31.087
76,7.5,31.709
77,7.6,33.057
78,7.7,33.258
79,7.8,34.171
80,7.9,35.206
81,8.0,35.447
82,8.1,36.361
83,8.2,36.592
84,8.3,37.637
85,8.4,38.605
86,8.5,39.746
87,8.6,40.822
88,8.7,41.21
89,8.8,42.127
90,8.9,42.923
91,9.0,44.08
92,9.1,44.857
93,9.2,45.492
94,9.3,45.902
95,9.4,47.44
96,9.5,48.133
97,9.6,49.313
98,9.7,49.766
99,9.8,51.36
100,9.9,51.458
101,10.0,53.058
102,10.1,53.464
103,10.2,54.175
104,10.3,54.901
105,10.4,56.191
106,10.5,57.698
107,10.6,58.45
108,10.7,59.377
109,10.8,59.284
110,10.9,61.353
111,11.0,62.295
112,11.1,62.912
113,11.2,63.896
114,11.3,65.135
115,11.4,66.768
116,11.5,66.831
117,11.6,68.094
118,11.7,69.773
119,11.8,70.2
120,11.9,71.297
121,12.0,72.534
122,12.1,73.15
123,12.2,74.753
124,12.3,75.353
125,12.4,77.194
126,12.5,78.001
127,12.6,79.923
128,12.7,80.354
129,12.8,81.874
130,12.9,82.088
131,13.0,83.657
132,13.1,84.977
133,13.2,86.647
134,13.3,86.628
135,13.4,88.751
136,13.5,89.807
137,13.6,91.341
138,13.7,92.265
139,13.8,93.254
140,13.9,94.281
141,14.0,95.263
142,14.1,97.012
143,14.2,98.129
144,14.3,100.163
145,14.4,100.51
146,14.5,102.112
147,14.6,102.735
148,14.7,104.438
149,14.8,105.967
150,14.9,107.472
151,15.0,109.007
152,15.1,109.809
153,15.2,110.765
154,15.3,112.656
155,15.4,114.025
156,15.5,115.372
157,15.6,116.319
158,15.7,118.333
159,15.8,119.347
160,15.9,120.949
161,16.0,122.546
162,16.1,123.717
163,16.2,125.016
164,16.3,127.089
165,16.4,127.849
166,16.5,129.096
167,16.6,130.683
168,16.7,132.615
169,16.8,133.598
170,16.9,135.206
171,17.0,136.919
172,17.1,137.804
173,17.2,138.872
174,17.3,141.081
175,17.4,142.564
176,17.5,143.787
177,17.6,145.829
178,17.7,147.269
179,17.8,148.248
180,17.9,150.325
181,18.0,151.631
182,18.1,152.745
183,18.2,154.995
184,18.3,156.4
185,18.4,157.743
186,18.5,159.783
187,18.6,161.375
188,18.7,162.614
189,18.8,164.576
190,18.9,166.419
191,19.0,167.451
192,19.1,169.477
193,19.2,170.997
194,19.3,173.449
195,19.4,173.672
196,19.5,176.243
197,19.6,177.577
198,19.7,179.341
199,19.8,181.742
200,19.9,182.781
