ponto,comprimento_m,periodo_s,tempo_10_oscilacoes_s
1,0.6244,1.5647,15.7158
2,1.431,2.4067,24.0543
3,1.1248,2.1364,21.362
4,0.9381,1.9216,19.1356
5,0.3184,1.188,11.8783
6,0.3184,1.1462,11.4385
7,0.1813,0.8185,8.2105
8,1.3126,2.3181,23.1145
9,0.9416,1.9173,19.2148
10,1.0913,2.1193,21.3152
11,0.1288,0.7548,7.5389
12,1.4579,2.3976,24.0077
13,1.2654,2.2855,22.9106
14,0.3973,1.2768,12.7359
15,0.3546,1.2192,12.2096
16,0.3568,1.2551,12.5523
17,0.5259,1.4475,14.4825
18,0.8347,1.8101,18.0394
19,0.7047,1.6574,16.5756
20,0.5077,1.4049,14.0892
21,0.9566,1.9597,19.7134
22,0.2953,1.1003,11.0802
23,0.509,1.4395,14.5674
24,0.6129,1.5953,15.8919
25,0.7385,1.7243,17.313
26,1.1992,2.2405,22.4192
27,0.3795,1.2279,12.4546
28,0.8199,1.8981,18.9163
29,0.9294,1.9527,19.4599
30,0.165,0.7892,7.8443
31,0.9506,1.9237,19.0673
32,0.3387,1.182,11.7782
33,0.1911,0.8702,8.6411
34,1.4284,2.419,24.2022
35,1.4519,2.4314,24.3412
36,1.2318,2.2242,22.3925
37,0.5265,1.4301,14.3775
38,0.2367,0.9306,9.2601
39,1.0579,2.05,20.4277
40,0.7162,1.7234,17.2735
41,0.2709,1.0505,10.3989
42,0.7932,1.7493,17.6397
43,0.1481,0.7773,7.8676
44,1.373,2.3622,23.5846
45,0.4623,1.3375,13.2375
46,1.0275,2.0381,20.4894
47,0.5364,1.471,14.7005
48,0.8281,1.7912,18.0113
49,0.8654,1.8769,18.6415
50,0.3588,1.2184,12.1365
51,1.4574,2.4543,24.5433
52,1.1852,2.2155,22.1592
53,1.4153,2.3452,23.4161
54,1.3528,2.3051,23.1007
55,0.9371,1.9574,19.4882
56,1.3906,2.3811,23.7992
57,0.2239,0.9647,9.6562
58,0.3744,1.343,13.4713
59,0.1633,0.8278,8.3352
60,0.5555,1.5292,15.2018
61,0.6441,1.6387,16.2639
62,0.4799,1.4092,14.1945
63,1.2602,2.2426,22.4521
64,0.5995,1.576,15.6997
65,0.4933,1.3858,13.982
66,0.8598,1.853,18.5393
67,0.2973,1.0792,10.8867
68,1.2231,2.221,22.2156
69,0.2044,0.9763,9.9282
70,1.4816,2.3858,23.9986
71,1.1811,2.2008,21.988
72,0.3782,1.1853,11.9308
73,0.1077,0.6443,6.4944
74,1.2416,2.268,22.7896
75,1.0896,2.0959,20.8822
76,1.1206,2.0913,20.9676
77,1.1798,2.1575,21.6595
78,0.2037,0.9257,9.1164
79,0.6019,1.5344,15.2491
80,0.2622,1.0337,10.1743
81,1.3083,2.296,22.9381
82,0.9726,1.9589,19.646
83,0.5633,1.5699,15.819
84,0.189,0.8911,8.9169
85,0.5354,1.4071,14.201
86,0.5553,1.5004,14.8938
87,1.1214,2.1045,20.9091
88,0.9926,2.0242,20.2374
89,1.3421,2.3002,23.033
90,0.7611,1.7467,17.4641
91,0.2674,1.0526,10.3602
92,1.0985,2.1286,21.2785
93,1.1651,2.1293,21.189
94,0.8858,1.878,18.8336
95,1.1794,2.1643,21.6723
96,0.7913,1.7649,17.5739
97,0.8318,1.8826,18.7848
98,0.6986,1.6888,16.8034
99,0.1356,0.7008,7.0035
100,0.251,1.0327,10.4031
101,0.144,0.8249,8.1703
102,0.991,2.028,20.32
103,0.5401,1.4287,14.2446
104,0.812,1.7932,17.8682
105,1.3706,2.3866,23.857
106,0.449,1.323,13.1472
107,0.6745,1.6609,16.5647
108,1.1578,2.1818,21.7218
109,0.4203,1.2728,12.8848
110,0.2078,0.9126,9.129
111,0.5057,1.3293,13.2366
112,0.3257,1.1142,11.1586
113,1.4016,2.3674,23.6647
114,1.2314,2.1886,21.8687
115,0.9868,2.0417,20.4663
116,1.32,2.2619,22.6799
117,1.2251,2.2072,22.0299
118,0.3612,1.2096,12.0496
119,1.3496,2.3737,23.7152
120,0.8551,1.8119,17.9353
121,1.2304,2.2601,22.4799
122,1.3545,2.3351,23.4599
123,0.5452,1.4518,14.6495
124,0.2541,1.025,10.2304
125,0.4191,1.3047,13.0928
126,0.698,1.6579,16.6042
127,1.2452,2.2407,22.6528
128,1.305,2.2801,22.8908
129,0.1097,0.6679,6.6691
130,0.815,1.8309,18.2329
131,0.6844,1.7071,16.9429
132,0.411,1.2489,12.5049
133,0.2678,1.1021,10.9609
134,0.5727,1.4595,14.4814
135,1.4201,2.386,23.8084
136,0.5525,1.5087,15.0009
137,0.8263,1.832,18.4547
138,1.0842,2.0702,20.7721
139,0.6091,1.5594,15.593
140,1.4605,2.4096,24.214
141,1.4474,2.3958,23.9642
142,0.4525,1.3749,13.6803
143,0.7961,1.8007,18.1285
144,0.5212,1.4275,14.3183
145,0.4988,1.4438,14.3546
146,0.1516,0.7904,7.8888
147,0.9534,1.9831,19.7614
148,0.8038,1.8174,18.0631
149,0.1721,0.8073,8.1468
150,0.4901,1.3876,14.0287
151,1.3716,2.3718,23.6062
152,0.4354,1.342,13.4649
153,0.3029,1.1034,10.9815
154,0.7852,1.7812,17.7727
155,1.4799,2.4787,24.74
156,0.4389,1.3112,13.0432
157,1.041,2.0632,20.6357
158,1.1663,2.1604,21.5372
159,0.4327,1.313,13.1521
160,1.1195,2.1555,21.5511
161,0.6149,1.5978,15.9591
162,0.9852,2.0156,20.0834
163,0.9869,2.0321,20.2748
164,0.8501,1.8502,18.5627
165,0.2264,0.975,9.7899
166,1.2694,2.2509,22.4308
167,0.5491,1.4962,14.9703
168,0.3611,1.2016,12.0763
169,0.1571,0.798,7.8464
170,0.9273,1.9496,19.5392
171,1.0486,2.0297,20.2438
172,0.1232,0.767,7.7153
173,0.8169,1.783,17.7688
174,0.4171,1.2591,12.4471
175,1.0032,2.0441,20.3104
176,0.3441,1.2005,12.0092
177,1.0673,2.0912,20.9329
178,0.6414,1.6255,16.1826
179,1.4114,2.3829,23.8801
180,0.2925,1.0581,10.4479
181,0.5775,1.5267,15.2621
182,0.2589,1.0003,9.9066
183,1.3946,2.3983,23.9304
184,1.3283,2.3076,23.0798
185,0.4611,1.3375,13.3059
186,1.024,2.0203,20.1726
187,1.2441,2.2499,22.58
188,0.8773,1.862,18.5742
189,0.8415,1.8156,18.2226
190,0.4386,1.3359,13.2682
191,0.2303,0.9701,9.7438
192,1.3561,2.3209,23.3242
193,1.3606,2.3258,23.0605
194,0.9863,1.9993,19.9291
195,0.5746,1.4773,14.8188
196,0.5889,1.4972,14.956
197,1.1163,2.098,21.0096
198,1.356,2.3296,23.2474
199,1.3419,2.3332,23.3387
200,1.1918,2.2343,22.3305
