grupo_comprimento,comprimento_medio_m,periodo_medio_s,T2_medio_s2,T2_desvio_padrao_s2,numero_medidas,g_medio_m_s2,g_desvio_padrao_m_s2,T2_erro_padrao_s2,g_erro_padrao_m_s2
1,0.24947999999999998,1.00754,1.015178444,0.013700532413389572,10,9.70397,0.14841060197229114,0.004332488758327461,0.04693155311491175
2,0.30036999999999997,1.0927799999999999,1.1942046339999999,0.013921472634268796,10,9.931000000000001,0.16886846294609845,0.004402356190799365,0.05340089678814188
3,0.35111,1.18489,1.4040205369999998,0.018773021714648532,10,9.87396,0.12863776186554904,0.005936550718208893,0.04067883206014856
4,0.39944999999999997,1.2662600000000002,1.603499078,0.024612318832831416,10,9.83653,0.15383621918564322,0.007783098601000426,0.04864728392555258
5,0.44908000000000003,1.34367,1.805498593,0.01991186831283851,10,9.820319999999999,0.10912038000911299,0.006296685633790386,0.03450689399719022
6,0.49923,1.42049,2.0178136049999997,0.01397086942893622,10,9.76807,0.0774884514693073,0.004417976828825437,0.02450399990024321
7,0.55028,1.48659,2.210001331,0.02247261466141277,10,9.831010000000001,0.1024694800090898,0.007106464730935799,0.0324036947481815
8,0.60075,1.5535,2.413474624,0.034609494603791605,10,9.828880000000002,0.1702454685316339,0.010944483161528826,0.05383634418824846
9,0.64924,1.6183599999999998,2.619128066,0.021325169849188513,10,9.7866,0.09569344572934735,0.006743610821338512,0.03026092456544503
10,0.69985,1.6774799999999999,2.813966954,0.01862325517355667,10,9.818909999999999,0.07367169590675807,0.005889190379495345,0.023297035815265925
11,0.74972,1.73707,3.017464225,0.02646297287931175,10,9.809619999999999,0.10027490879244581,0.008368326795788923,0.03170971039497732
12,0.79991,1.79604,3.225848294,0.03565138550411297,10,9.79065,0.11076552060797407,0.011273957993370722,0.03502713313355166
13,0.8488,1.8504999999999998,3.424405988,0.029159477900335393,10,9.78609,0.09648501841103524,0.009221036554640417,0.03051124182621515
14,0.89926,1.9004400000000001,3.611729778,0.030439090872936732,10,9.8299,0.08264497027110058,0.009625685706332304,0.02613463432135812
15,0.9497199999999999,1.95408,3.8184911880000003,0.03255385108508807,10,9.81959,0.09534819755914514,0.010294431603882215,0.030151747507860586
16,1.00007,2.00739,4.029657073,0.027587335999907914,10,9.79807,0.07227615328262368,0.008723881633606769,0.022855726488854634
17,1.04969,2.05852,4.237561912,0.032852481450297524,10,9.77957,0.07555963134431591,0.010388866817137193,0.023894053421068866
18,1.10023,2.10784,4.443047366,0.03385356543501888,10,9.77623,0.07503852417999043,0.01070543736922086,0.02372926486663885
19,1.1504,2.14911,4.618717803,0.03003920371343466,10,9.83318,0.06283164100285055,0.009499230283224145,0.019869109469503383
20,1.19993,2.1962599999999997,4.823587057999999,0.02496144499276448,10,9.820870000000001,0.05432897835307515,0.007893501986614097,0.0171803314545701
